날짜,확진자 수
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,3
2020-01-31,3
2020-02-01,0
2020-02-02,1
2020-02-03,0
2020-02-04,0
2020-02-05,2
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,2
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,2
2020-02-22,5
2020-02-23,3
2020-02-24,4
2020-02-25,16
2020-02-26,10
2020-02-27,9
2020-02-28,12
2020-02-29,5
2020-03-01,5
2020-03-02,6
2020-03-03,0
2020-03-04,7
2020-03-05,1
2020-03-06,7
2020-03-07,7
2020-03-08,10
2020-03-09,26
2020-03-10,46
2020-03-11,17
2020-03-12,12
2020-03-13,9
2020-03-14,8
2020-03-15,6
2020-03-16,11
2020-03-17,6
2020-03-18,11
2020-03-19,17
2020-03-20,17
2020-03-21,8
2020-03-22,6
2020-03-23,6
2020-03-24,13
2020-03-25,13
2020-03-26,14
2020-03-27,15
2020-03-28,22
2020-03-29,22
2020-03-30,19
2020-03-31,24
2020-04-01,16
2020-04-02,20
2020-04-03,20
2020-04-04,20
2020-04-05,10
2020-04-06,8
2020-04-07,10
2020-04-08,11
2020-04-09,5
2020-04-10,3
2020-04-11,2
2020-04-12,8
2020-04-13,3
2020-04-14,5
2020-04-15,1
2020-04-16,2
2020-04-17,2
2020-04-18,1
2020-04-19,1
2020-04-20,0
2020-04-21,2
2020-04-22,0
2020-04-23,0
2020-04-24,1
2020-04-25,0
2020-04-26,0
2020-04-27,4
2020-04-28,0
2020-04-29,0
2020-04-30,1
2020-05-01,1
2020-05-02,2
2020-05-03,0
2020-05-04,0
2020-05-05,0
2020-05-06,0
2020-05-07,0
2020-05-08,13
2020-05-09,18
2020-05-10,21
2020-05-11,11
2020-05-12,8
2020-05-13,5
2020-05-14,12
2020-05-15,6
2020-05-16,4
2020-05-17,1
2020-05-18,7
2020-05-19,9
2020-05-20,4
2020-05-21,3
2020-05-22,3
2020-05-23,6
2020-05-24,7
2020-05-25,8
2020-05-26,20
2020-05-27,24
2020-05-28,19
2020-05-29,9
2020-05-30,6
2020-05-31,2
2020-06-01,13
2020-06-02,20
2020-06-03,15
2020-06-04,14
2020-06-05,28
2020-06-06,29
2020-06-07,15
2020-06-08,18
2020-06-09,13
2020-06-10,19
2020-06-11,25
2020-06-12,30
2020-06-13,12
2020-06-14,8
2020-06-15,12
2020-06-16,12
2020-06-17,24
2020-06-18,18
2020-06-19,17
2020-06-20,14
2020-06-21,8
2020-06-22,4
2020-06-23,11
2020-06-24,8
2020-06-25,17
2020-06-26,17
2020-06-27,14
2020-06-28,7
2020-06-29,8
2020-06-30,9
2020-07-01,13
2020-07-02,11
2020-07-03,7
2020-07-04,16
2020-07-05,3
2020-07-06,3
2020-07-07,11
2020-07-08,7
2020-07-09,8
2020-07-10,8
